,index,author,count,mean
44,2441,4d4ba3672aaa169e3e5e743fbd58205b,40,99575.8
45,5005,9d094317d0a9f881091eb32079c36cdf,38,97319.76315789473
46,4970,9badcd84c6e34a8e7283f7a93aa1cf43,21,96172.19047619047
47,7935,f9c916a4cbee1ea894bd5fa5b2f19532,9,95410.22222222222
48,6879,d76500d30365bc54c33d5c0991eaef34,14,93695.78571428571
49,2146,448ab7095a61ad9ea9e4d749d76bd06a,80,91509.6
50,2128,4403d3627cb950ddd651467014689af9,2,89885.5
51,6762,d43ce452e4e51ec7e621ee44d9b8d8d4,4,89664.25
52,163,0465fae8f431899de96c1a3123b21acc,31,85417.74193548386
53,6580,ce4b4e0080c29ffcd19593d084bc31db,1,84191.0
54,4756,95d6ab01f62be9f8f2ae699f158afddb,1,81087.0
55,1601,32ab127f066daf79d61b58f97a4e43c3,12,78893.91666666667
56,6162,c0d0500246373695082b38940407f7be,41,78729.60975609756
57,7258,e25e7034ec5f7b0301b73e413e7a13d5,54,76044.77777777778
58,299,09929fe12612101fa1d653d6b69321c0,7,75768.71428571429
59,7173,df91703c8e76b7b6959f7d3df0dc01c2,99,73389.81818181818
60,6185,c186c3a38b548c1aa7f9dc02fbf00daf,46,73107.36956521739
61,2117,438a82a5195efb5779730affa261b20e,83,70954.53012048193
62,1940,3e4da7e07d1937b082d82d31ca0e46f9,24,70394.625
63,2294,48be11f2e2e4df05edc18e94e53c03e3,11,69763.81818181818
64,1873,3bf3facaa9f8b3ffa64db22eb9ec0d16,98,67072.1836734694
65,2942,5c94bffc6fcdd9cfdb18e46d3c4b581e,10,66901.5
66,3652,72e3bc1eb0b61958dc00202f0dc870cf,6,66728.0
67,3818,77f5d308dbde5a2e428468db61a524ea,34,65976.0294117647
68,7177,df9ef777e7fb6a5ddb6b13daede089a9,22,65502.681818181816
69,5284,a57ce3bc42018cc2b3445bf58d733fe1,25,65187.96
70,7605,ee977e5c9c5559383b8ba9f221437e71,99,64331.0101010101
71,89,0267ec7667a845a9bb41808378f5e886,63,64064.39682539683
72,4441,8c4904c46d7f651e903f741046fdde13,99,63088.88888888889
73,762,18b7595935a34f3eae034c1d4b0ed310,99,63025.131313131315
74,376,0c056d3c2baa5920aa732d45d64d9b45,6,62919.833333333336
75,3440,6cdb28c4c37a20afc374fc7e64bb0737,2,62174.0
76,3500,6e55d5093d54c0be3744395ae5208e08,10,61579.3
77,3613,71e2a8074d9d8cc5660dead73386c0fd,26,61320.46153846154
78,3483,6dfda64e48b51db311358f34c657adee,45,59990.73333333333
